state,county,county_fips,year,analyte_name,time_period,quarter,average_concentration,maximum_concentration,sdwa_limit,units,pws_id_number,pws_name,pws_primary_source_code,pws_population_served,pws_latitude,pws_longitude,over_limit_by
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Year,0,50.7,90.7,80,ug/L,CO0123676,RIFLE CITY OF,SW,7001,39.49,-107.84,+10.7 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Quarter,3,70,90.7,80,ug/L,CO0123676,RIFLE CITY OF,SW,7001,39.49,-107.84,+10.7 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Year,0,74.2,91,80,ug/L,CO0123710,SILT TOWN OF,SW,2400,39.55,-107.65,+11 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Quarter,3,90.9,90.9,80,ug/L,CO0123710,SILT TOWN OF,SW,2400,39.55,-107.65,+10.9 ug/L
Colorado,Garfield,08045,2009,TTHM (total trihalomethanes),Quarter,4,91,91,80,ug/L,CO0123710,SILT TOWN OF,SW,2400,39.55,-107.65,+11 ug/L
Colorado,Grand,08049,2009,TTHM (total trihalomethanes),Year,0,55.7,111.5,80,ug/L,CO0125843,WINTER PARK WSD,SW,845,39.88,-105.75,+31.5 ug/L
Colorado,Grand,08049,2009,TTHM (total trihalomethanes),Quarter,3,103.8,111.5,80,ug/L,CO0125843,WINTER PARK WSD,SW,845,39.88,-105.75,+31.5 ug/L
Colorado,Gunnison,08051,2009,TTHM (total trihalomethanes),Year,0,40.1,90.4,80,ug/L,CO0126188,CRESTED BUTTE TOWN OF,SW,1600,38.88,-107,+10.4 ug/L
Colorado,Gunnison,08051,2009,TTHM (total trihalomethanes),Quarter,3,90.4,90.4,80,ug/L,CO0126188,CRESTED BUTTE TOWN OF,SW,1600,38.88,-107,+10.4 ug/L
Colorado,Gunnison,08051,2009,TTHM (total trihalomethanes),Year,0,91.5,118,80,ug/L,CO0126718,OXBOW MINING WW,GU,200,38.69,-107.26,+38 ug/L
Colorado,Gunnison,08051,2009,TTHM (total trihalomethanes),Quarter,3,118,118,80,ug/L,CO0126718,OXBOW MINING WW,GU,200,38.69,-107.26,+38 ug/L
Colorado,Huerfano,08055,2009,TTHM (total trihalomethanes),Year,0,58,85.5,80,ug/L,CO0128900,WALSENBURG CITY OF,SW,4406,37.59,-104.84,+5.5 ug/L
Colorado,Huerfano,08055,2009,TTHM (total trihalomethanes),Quarter,3,85.5,85.5,80,ug/L,CO0128900,WALSENBURG CITY OF,SW,4406,37.59,-104.84,+5.5 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Year,0,34.6,93.8,80,ug/L,CO0130001,ARVADA CITY OF,SW,107161,39.83,-105.21,+13.8 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Quarter,3,43.2,93.8,80,ug/L,CO0130001,ARVADA CITY OF,SW,107161,39.83,-105.21,+13.8 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Year,0,47.2,92.5,80,ug/L,CO0130040,GOLDEN CITY OF,SW,27274,39.69,-105.29,+12.5 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Quarter,2,74.9,92.5,80,ug/L,CO0130040,GOLDEN CITY OF,SW,27274,39.69,-105.29,+12.5 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Year,0,56.6,96,80,ug/L,CO0130065,INDIAN HILLS WD,GU,1250,39.61,-105.23,+16 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Quarter,3,90.4,96,80,ug/L,CO0130065,INDIAN HILLS WD,GU,1250,39.61,-105.23,+16 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Year,0,54,84.7,80,ug/L,CO0130105,NORTH TABLE MOUNTAIN WSD,SW,10000,39.64,-105.26,+4.7 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Quarter,3,70.3,84.7,80,ug/L,CO0130105,NORTH TABLE MOUNTAIN WSD,SW,10000,39.64,-105.26,+4.7 ug/L
Colorado,Jefferson,08059,2009,TTHM (total trihalomethanes),Quarter,4,76.7,83.6,80,ug/L,CO0130105,NORTH TABLE MOUNTAIN WSD,SW,10000,39.64,-105.26,+3.6 ug/L
Colorado,La Plata,08067,2009,TTHM (total trihalomethanes),Year,0,50.3,369.2,80,ug/L,CO0134150,DURANGO CITY OF,SW,25000,37.29,-107.87,+289.2 ug/L
Colorado,La Plata,08067,2009,TTHM (total trihalomethanes),Quarter,4,116.1,369.2,80,ug/L,CO0134150,DURANGO CITY OF,SW,25000,37.29,-107.87,+289.2 ug/L
Colorado,La Plata,08067,2009,TTHM (total trihalomethanes),Year,0,76.4,100.5,80,ug/L,CO0134200,EDGEMONT RANCH MD,SW,675,37.16,-107.94,+20.5 ug/L
Colorado,La Plata,08067,2009,TTHM (total trihalomethanes),Quarter,2,100.5,100.5,80,ug/L,CO0134200,EDGEMONT RANCH MD,SW,675,37.16,-107.94,+20.5 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Year,0,67.1,93.5,80,ug/L,CO0135143,BIG ELK MEADOWS WA,SW,300,40.28,-105.43,+13.5 ug/L
Colorado,Larimer,08069,2009,TTHM (total trihalomethanes),Quarter,3,93.5,93.5,80,ug/L,CO0135143,BIG ELK MEADOWS WA,SW,300,40.28,-105.43,+13.5 ug/L
Colorado,Dolores,08033,2009,TTHM (total trihalomethanes),Year,0,70.4,85.4,80,ug/L,CO0117300,DOVE CREEK TOWN OF,SW,850,37.75,-108.9,+5.4 ug/L
Colorado,Dolores,08033,2009,TTHM (total trihalomethanes),Quarter,3,85.4,85.4,80,ug/L,CO0117300,DOVE CREEK TOWN OF,SW,850,37.75,-108.9,+5.4 ug/L
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Year,0,37.9,87.8,80,ug/L,CO0118055,ROXBOROUGH PARK WSD,SW,7756,39.49,-105.07,+7.8 ug/L
Colorado,Douglas,08035,2009,TTHM (total trihalomethanes),Quarter,3,50.8,87.8,80,ug/L,CO0118055,ROXBOROUGH PARK WSD,SW,7756,39.49,-105.07,+7.8 ug/L
Colorado,Eagle,08037,2009,TTHM (total trihalomethanes),Year,0,40,89.1,80,ug/L,CO0119510,MINTURN TOWN OF,SW,1500,39.46,-106.47,+9.1 ug/L
Colorado,Eagle,08037,2009,TTHM (total trihalomethanes),Quarter,2,70.5,89.1,80,ug/L,CO0119510,MINTURN TOWN OF,SW,1500,39.46,-106.47,+9.1 ug/L
Colorado,Eagle,08037,2009,TTHM (total trihalomethanes),Year,0,36.2,122,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.62,-106.68,+42 ug/L
Colorado,Eagle,08037,2009,TTHM (total trihalomethanes),Quarter,2,40.8,122,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.62,-106.68,+42 ug/L
Colorado,Eagle,08037,2009,TTHM (total trihalomethanes),Quarter,4,57.1,94,80,ug/L,CO0119786,UPPER EAGLE REGIONAL WA,SW,14202,39.62,-106.68,+14 ug/L
